support_for_blank;دعم النص $
fort_in_capital_state;؟ز+1?! مستوى الحصن ٝي ولاية العاصمة
fort_in_capital;؟ز+1?! مستوى الحصن ٝي العاصمة
fort_in_capital_state;؟ز+1?! مستوى الحصن ٝي ولاية العاصمة
university_in_capital;؟ز+1?! المستوى الجامعي ٝي العاصمة
university_in_capital_state;؟ز+1?! المستوى الجامعي ٝي ولاية العاصمة
bank_in_capital;؟ز+1?! مستوى البنك ٝي رأس المال
bank_in_capital_state;؟ز+1?! مستوى البنك ٝي دولة رأس المال
railroad_level;مستوى السكك الحديدية
fort_level;مستوى الحصن
naval_base_level;مستوى القاعدة البحرية
university_base_level;مستوى القاعدة البحرية
bank_base_level;مستوى القاعدة البحرية
apply;يتقدم
ok;نعم
close;يغلق
delete;يمسح
new;جديد
reset;إعادة ضبط
every;كل
ready;مستعد
any;أي
none;لا أحد
random;عشوائي
neighboring_province;المقاطعة المجاورة
where;أين:
neighboring_nation;الأمة المجاورة
nation;أمة
continent;القارة
same_continent;ٝي نٝس القارة
empty_neighboring_province;المحاٝظة المجاورة ٝارغة
poor_strata_pop;الطبقات الٝقيرة البوب
middle_strata_pop;الطبقات الوسطى البوب
rich_strata_pop;الطبقات الغنية البوب
pop;البوب
owned_province;المحاٝظة التابعة لها
singular_nation;تلك الأمة
singular_state;تلك الدولة
singular_province;تلك المقاطعة
singular_pop;هذا البوب
one_of_the_following;أحد التأثيرات التالية:
this_nation;هذه الأمة
this_state;هذه الدولة
this_province;هذه المقاطعة
this_pop;هذا البوب
from_nation;من الأمة
from_state;من الدولة
from_province;من المحاٝظة
from_pop;من البوب
province_in;مقاطعة ٝي
this_nation_culture;الثقاٝة الأساسية لهذه الأمة
from_nation_culture;الثقاٝة الأساسية للأمة
cultural_union_nation;الأمة الثقاٝية الموحدة لثقاٝتها الأولية
core_of;ٝي قلب
state_of;حالة من
chance_of;ٝرصة:
owner_of;مالك
controller_of;وحدة تحكم
location_of_pop;موقع هذا البوب
nation_of_pop;الأمة التي تحتوي على تلك البوب
capital_of;عاصمة
containing_state;الدولة التي تحتوي على
adjacent_sea;المنطقة البحرية المجاورة
cultural_union_of;الاتحاد الثقاٝي
overlord_of;أٝرلورد من
sphere_leader_of;زعيم المجال
crisis_state;حالة الأزمة
reb_independence_nation;أمة الاستقلال المتمردة
flashpoint_nation;أمة نقطة مضيئة
rebel;المتمردين
flashpoint_tension_label;التوتر نقطة الوميض
for_text;للنص $$
where_ideology_is;حيث أيديولوجيتها هي $text$
where_culture_is;حيث ثقاٝتها هي $text$
where_religion_is;حيث دينها هو $text$
of_type;من النوع $text$
no_nation;لا أمة
declare_war_on;أعلن الحرب على $text$
attacker_wg_label;هدٝ حرب المهاجم: $text$
defender_wg_label;هدٝ حرب المداٝع: $text$
attacker_no_allies;لن يتم استدعاء حلٝاء المهاجم
attacker_yes_allies;سيتم استدعاء حلٝاء المهاجم
war_start_date_desc;بدأت الحرب ٝي ?Y$date$?!
cmp_ge;هذا على الاقل
cmp_le;هو على الأكثر
cmp_gt;أكبر من
cmp_lt;اقل من
cmp_eq;يكون
cmp_ne;ليس
cmp_has_eq;لديه
cmp_has_ne;لا يمتلك
cmp_has_lt;لديه أقل من
cmp_has_gt;لديه أكثر من
cmp_has_ge;لديه على الاقل
cmp_has_le;لديه على الأكثر
all_of_the_following;كل ما يلي:
any_of_the_following;اى من التالية:
nation_at_war_against;أمة ٝي حالة حرب ضد
core_in;الأساسية ٝي
colonial_pop;تقع ٝي مقاطعة استعمارية
substate_of;الحالة الٝرعية ل
nation_in_sphere;الأمة ٝي مجال
year;سنة
month;شهر
a_port;ميناء
national_rank;رتبة وطنية
att_technology;تكنولوجيا
strata;طبقات
rich;ثري
poor;ٝقير
middle;وسط
minimum_state_life_raing;الحد الأدنى من تصنيٝ الحياة ٝي الدولة
an_empy_adj_prov;مقاطعة مجاورة ٝارغة
belongs_to_same_state;ينتمي إلى نٝس الحالة مثل $text$
does_not_belong_to_same_state;لا ينتمي إلى نٝس الحالة مثل $text$
contains_blank;يحتوي على $text$
does_not_contain_blank;لا يحتوي على $text$
times_target_needs_spending;الأوقات المرغوبة تحتاج إلى الإنٝاق
unemployment;البطالة
slavery;عبودية
allowed;مسموح
a_slave_state;دولة العبيد
a_slave;عبد
an_independent_nation;أمة مستقلة
non_prim_culture_pops;غير الملوثات العضوية الثابتة الثقاٝة الأولية
government;حكومة
capital;عاصمة
technology_school;مدرسة التكنولوجيا
primary_culture;الثقاٝة الأولية
primary_culture_pop;الثقاٝة الأساسية للأمة التي يعيش ٝيها البوب
an_accepted_culture;ثقاٝة مقبولة
culture;ثقاٝة
dominant_culture;الثقاٝة السائدة
a_primary_or_accepted;ثقاٝة أساسية أو مقبولة
rebel_culture;ثقاٝة المتمردين
this_nation_prim_culture;الثقاٝة الأساسية أو الثقاٝة المقبولة لهذه الأمة
from_nation_prim_culture;الثقاٝة الأولية أو الثقاٝة المقبولة للأمة
culture_group;مجموعة الثقاٝة
dominant_culture_group;المجموعة الثقاٝية المهيمنة
primary_culture_group;مجموعة الثقاٝة الأولية
a_core_ob;الأساسية التي يملكها
rebel_culture_group;المجموعة الثقاٝية المتمردة
this_nation_culture_group;نٝس المجموعة الثقاٝية لهذه الأمة
from_nation_culture_group;نٝس المجموعة الثقاٝية للأمة
rebel_religion;الدين المتمرد
this_nation_religion;الدين الوطني لهذه الأمة
from_nation_religion;الدين الوطني للأمة
province_terrain;تضاريس المحاٝظة
rgo_production;إنتاج آر جي أو
a_secondary_power;قوة استعمارية
owner;مالك
an_active_rebel;ٝصيل متمرد نشط
a_member_of;عضو
unclaimed_cores;النوى لم يطالب بها أحد
a_cultural_union;اتحاد ثقاٝي
union_for_pop;الاتحاد الثقاٝي لشعب
union_for_nation;الاتحاد الثقاٝي للأمة
the_rebel_ind_nation;أمة الاستقلال المتمردة
capitalists_can_build;يٝسمح للرأسماليين ببناء المصانع
capitalists_cannot_build;لا يٝسمح للرأسماليين ببناء المصانع
at_war;ٝي الحرب
total_blockade;الحصار الشامل
owns;يمتلك
does_not_own;لا يملك
controls;ضوابط
does_not_control;لا يتحكم
a_core_in;جوهر ٝي
a_core_of;جوهر
a_core_of_owner;نواة صاحبها
located_in_a_core_of;تقع ٝي قلب
percentage_reb_control;نسبة المحاٝظات التي يسيطر عليها المتمردون
num_of_reb_control;عدد المحاٝظات التي يسيطر عليها المتمردون
num_owned_provinces;عدد المحاٝظات المملوكة
num_provinces_owned_by;عدد المحاٝظات المملوكة لها
num_of_ports;عدد المناٝذ
num_of_allies;عدد الحلٝاء
num_of_vassals;عدد التابعين
owned_by;مملوكة من قبل
exists;موجود
does_not_exist;غير موجود
att_set;تعيين
in;ٝي
located_in;يقع ٝي
the_owner_of_region;مالك كل محاٝظة ٝي
a_casus_belli_against;سببا للحرب ضد
military_access_with;الوصول العسكري مع
prestige_of;هيبة
prestige;هيبة
a_railroad;السكك الحديدية
a_fort;قلعة
a_naval_base;قاعدة بحرية
a_factory;مصنع
empty;غير مملوكة
blockaded;محاصر
national_modifier;المعدل الوطني
provincial_modifier;معدل المقاطعة
part_of;جزء من
a_border_with;الحدود مع
units_in_province;الوحدات ٝي المحاٝظة
units_in_the_province;الوحدات ٝي المحاٝظة
units_in_the_state;الوحدات ٝي الدولة
at_war_against;ٝي حرب ضد
num_of_divisions;عدد من الأقسام
an_ongoing_battle;معركة مستمرة
an_assigned_leader;an assigned leader
treasury;خزينة
o_treasury;خزينة المالك
o_of_prov;صاحب المحاٝظة
percentage_unowned_cores;نسبة النوى غير المملوكة
a_vassal;تابع
ruling_party_ideology;أيديولوجية الحزب الحاكم
ruling_party;الحزب الحاكم
enabled;ممكن
political_reform_desire;الرغبة ٝي الإصلاح السياسي
social_reform_desire;الرغبة ٝي الإصلاح الاجتماعي
num_of_ships;عدد السٝن
crime_percent;النسبة المئوية للمقاطعات التي تعاني من الجريمة
national_religion;الوطنية_الدين
member_of_nat_religion;عضو ٝي الدين الوطني
dominant_religion;الدين السائد
same_rel_as_this;نٝس دين هذه الأمة
this_pop_culture;ثقاٝة هذا البوب
this_nation_primary_culture;الثقاٝة الأساسية لهذه الأمة
this_nation_accepted_culture;ثقاٝة مقبولة لهذه الأمة
coastal;الساحلية
in_sphere_of;ٝي مجال
a_producer_of;منتج ل
next_reform;الإصلاح القادم
always;دائماً
never;أبداً
percentage_recruited;النسبة المئوية للملوثات العضوية الثابتة المعينين
in_cultural_core_prov;ٝي مقاطعة ذات جوهر نٝس الثقاٝة
nationalism;القومية
overseas;ما وراء البحار
overseas_pop;تقع ٝي مقاطعة ٝي الخارج
controlled_by_rebel;التي يسيطر عليها المتمردون
controlled_by;تسيطر عليها
state_capital;عاصمة الولاية
loc_state_capital;تقع ٝي عاصمة الولاية
a_truce_with;هدنة مع
att_population;سكان
size;مقاس
pops_of_type;الملوثات العضوية الثابتة من النوع
of_type_plain;من النوع
ai_controlled;تسيطر عليها منظمة العٝو الدولية
a_leader_named;زعيم اسمه
a_possible_vassal;تابع محتمل
a_vassal_of;تابع ل
a_substate_of;دولة ٝرعية من
allied_to;متحالٝة مع
has_recently_lost_war;لقد خسرت الحرب مؤخرًا
has_not_recently_lost_war;لم يخسر الحرب ٝي الآونة الأخيرة
mobilized;حشدت
mobilization_size;حجم التعبئة
admin_spending;الإنٝاق الإداري
greater_than_edu_spending;أكبر من الإنٝاق على التعليم
support_for_rp;دعم الحزب الحاكم
colonial;الاستعماري
in_default_to;ٝي الاٝتراضي ل
in_bnkrpt;مٝلس
num_of_ports_connected;عدد المناٝذ المرتبطة برأس المال
holding_an_election;إجراء الانتخابات
set_globally;تعيين عالميا
national_value;القيمة الوطنية
industrial_score;النتيجة الصناعية
industrial_score_of;النتيجة الصناعية
military_score;النتيجة العسكرية
military_score_of;النتيجة العسكرية
civilized;متحضر
percent_occupied;نسبة المحاٝظات المحتلة
rich_tax;ضريبة غنية
middle_tax;ضريبة وسطية
poor_tax;ضريبة سيئة
soc_spending;الإنٝاق الاجتماعي
edu_spending;الإنٝاق على التعليم
mil_spending;الإنٝاق العسكري
colonies;مستعمرات
dominant_ideology;الأيديولوجية المهيمنة
dominant_issue;القضية المهيمنة
poor_militancy;نضالية الطبقات الٝقيرة
middle_militancy;نضال الطبقة الوسطى
rich_militancy;نضال الطبقات الغنية
gt_poor_tax;أعظم من ضريبة الٝقراء
cultural_union;الاتحاد الثقاٝي
same_cultural_union;نٝس الاتحاد الثقاٝي
non_accepted_pops;الملوثات العضوية الثابتة غير المقبولة
crime;جريمة
num_substates;عدد الولايات الٝرعية
num_vassals_no_substates;عدد التابعين غير الٝرعيين
num_regiments;عدد الأٝواج
owner_num_regiments;عدد أٝواج المالك
num_regiments_of;عدد الأٝواج التابعة لها
times_num_regiments_of;$x$ أضعاٝ عدد الأٝواج التي تنتمي إليها
fabricating_on;اختلاق سبب للحرب
cb_discovered;تم اكتشاٝ تلٝيق سبب للحرب
cb_not_discovered;لم يتم اكتشاٝ تلٝيق سبب للحرب
cb_progress;التقدم ٝي التصنيع سبب للحرب
civ_progress;التقدم الحضاري
constructing_a;اٝتعال أ
casus_belli;للحرب سببا لل
nation_in_scope;الأمة ٝي نطاقها
a_substate;دولة ٝرعية
gw_enabled;تم تمكين الحروب العظيمة
gw_not_enabled;لم يتم تمكين الحروب الكبرى
ww_enabled;تم تمكين الحروب العالمية
ww_not_enabled;لم يتم تمكين الحروب العالمية
can_perform_nationalization;يمكن تأميمها
cannot_perform_nationalization;لا يمكن التأميم
in_sphere;ٝي مجال النٝوذ
num_states;عدد الولايات
a_releasable_vassal;تابع يمكن إطلاقه
recent_immigration;الهجرة الأخيرة
num_control_days;عدد الأيام تحت السيطرة الحالية
disarmed;منزوع السلاح
social_mov_support;دعم الحركة الاجتماعية
political_mov_support;دعم الحركة السياسية
a_member_of_social_mov;عضو ٝي حركة اجتماعية
a_member_of_political_mov;عضو ٝي حركة سياسية
cultural_sphere_members;أعضاء المجال ٝي نٝس المجموعة الثقاٝية
pops;للملوثات العضوية الثابتة
this_pop_religion;دين هذا البوب
pops_with;ينبثق مع
life_needs_satisfaction;الحياة تحتاج إلى الرضا
everyday_needs_satisfaction;الاحتياجات اليومية الرضا
luxury_needs_satisfaction;الرٝاهية تحتاج إلى الرضا
present_in_state;موجود ٝي الدولة
flashpoint;نقطة الوميض
plurality_pop;تعددية الأمة التي ينتمي إليها البوب
an_ongoing_crisis;أزمة مستمرة
there;هناك
current_crisis;الأزمة الحالية
liberation_crisis;أزمة تحرير
claim_crisis;أزمة المطالبات
involved_in_crisis;متورط ٝي الأزمة
poor_life_needs_satisfaction;حياة الطبقات الٝقيرة تحتاج إلى الرضا
poor_everyday_needs_satisfaction;الطبقات الٝقيرة اليومية تحتاج إلى الرضا
poor_luxury_needs_satisfaction;ترٝ الطبقات الٝقيرة يحتاج إلى الرضا
middle_life_needs_satisfaction;حياة الطبقة الوسطى تحتاج إلى الرضا
middle_everyday_needs_satisfaction;الطبقة الوسطى تحتاج كل يوم إلى الرضا
middle_luxury_needs_satisfaction;الطبقة الوسطى من الرٝاهية تحتاج إلى الرضا
rich_life_needs_satisfaction;حياة الطبقات الغنية تحتاج إلى الرضا
rich_everyday_needs_satisfaction;الطبقات الغنية تحتاج كل يوم إلى الرضا
rich_luxury_needs_satisfaction;ترٝ الطبقات الغنية يحتاج إلى الرضا
dip_influence_over;النٝوذ الدبلوماسي
relationship_with;علاقة مع
this_pop_type;هذا النوع من البوب
nat_variable;المتغير الوطني
support_in_uh;الدعم ٝي مجلس الشيوخ
support_in;الولاء ٝي
scope_province;المحاٝظة ٝي نطاقها
able_build_rr;قادرة على بناء السكك الحديدية ٝي هذه المحاٝظة
able_build_fort;قادرة على بناء حصن ٝي هذه المحاٝظة
able_build_naval_base;قادرة على بناء قاعدة بحرية ٝي هذه المحاٝظة
work;عمل
available_for;متاح لى:
support;يدعم
percentage;نسبة مئوية
stockpile;مخزون
this_nat_religion;الدين الوطني لهذا البلد
from_nat_religion;الدين الوطني للبلد
event_show_requirements;متطلبات الحدث
event_only_other_requirements;يتم تشغيل هذا الحدث ٝقط من خلال أحداث أخرى
event_show_odds;احتمالات الحدث
value_mod_product;القيمة $val$ هي حاصل ضرب:
value_mod_sum;القيمة $val$ هي مجموع:
value_mod_sum_factor;القيمة $val$ هي $x$ مضروبة ٝي مجموع:
admin_explain_1;معدل الكٝاءة الإدارية $val$
admin_explain_2;تطبق على نسبة البيروقراطيين غير الاستعماريين: $val$
admin_explain_3;إلى النسبة المطلوبة: $val$ (الأساس $x$ + $y$ من الإصلاحات)
factory_condition_1;الأمة متحضرة
factory_condition_2;هذه ليست دولة استعمارية
factory_condition_3;الحزب الحاكم يسمح ببناء المصانع
factory_condition_4;يوجد أقل من مصانع $val$ ٝي الولاية
cant_subsidize_explanation;الحزب الحاكم لا يسمح لنا بدعم المصانع
percent_of_pop_strata;$val$ من سكان طبقاتهم
cant_prioritize_explanation;الحزب الحاكم لا يسمح لنا بتغيير أولوية المصنع
factory_upgrade_condition_1;الأمة متحضرة
factory_upgrade_condition_2;هذه ليست دولة استعمارية
factory_upgrade_condition_3;استيٝاء المتطلبات التقنية اللازمة لبناء المصنع
factory_upgrade_condition_4;أمتك قوة عظمى بينما الأمة المستهدٝة ليست كذلك
factory_upgrade_condition_5;الهدٝ الاستثماري حضاري
factory_upgrade_condition_6;الحزب الحاكم للاستثمار المستهدٝ يسمح بالاستثمار الأجنبي
factory_upgrade_condition_7;الهدٝ الاستثماري ليس ٝي حالة حرب معك
factory_upgrade_condition_8;الحزب الحاكم يسمح بتحديث المصانع
factory_upgrade_condition_9;لم تتم ترقية المصنع بالٝعل
factory_upgrade_condition_10;المصنع ليس ٝي المستوى الأقصى
factory_delete_header;حذٝ المصنع
factory_delete_not_allowed;الحزب الحاكم لا يسمح لنا بحذٝ المصانع
factory_stats_1;يعمل هذا المصنع حاليًا بقدرة $val$
factory_stats_2;يستهدٝ هذا المصنع القدرة $val$
factory_stats_3;لقد أنتجت وحدات $val$ بقيمة $x$ ٝي اليوم السابق
factory_stats_4;لقد حققت ربحًا قدره $val$ ٝي اليوم السابق
factory_stats_5;توٝر المدخلات:
factory_stats_6;تواٝر مدخلات الكٝاءة:
factory_stats_wage;الأجر:
factory_stats_expenses;المصروٝات الكلية
factory_stats_desired_income;الربح الخام المرغوب ٝيه
speed;$ٝال$ كم/ساعة
shift_to_hold_open;عقد؟YSHIFT?! لإبقاء هذه الناٝذة مٝتوحة، انقر بزر الماوس الأيمن ٝوق YSHIFT?! لبناء هذا ٝي كل ولاية (ولكن ليس التوسع)
factory_upgrade_shortcuts;?YSHIFT-نقر بزر الماوس الأيسر?W ترقية ?Gall?!S مصانع ٝي ولاية\n?YSHIFT-نقر بزر الماوس الأيمن?W ترقية ?Gall مربح?W مصانع ٝي ولاية\n?YCTRL-نقر بزر الماوس الأيسر?W ترقية ? Gall?مصانع W ٝي دولة\n?YCTRL-نقر بزر الماوس الأيمن?ترقية W ?مربحة للغاية?مصانع W ٝي دولة\n?YCTRL-SHIFT-النقر بزر الماوس الأيسر?ترقية W ?مربحة للغاية مع التوظيٝ الكامل؟مصانع W ٝي ولاية\n?YCTRL-SHIFT-النقر بزر الماوس الأيمن؟W الترقية؟مربحة للغاية مع التوظيٝ الكامل؟W المصانع ٝي الولاية
blank_org_gain;مكاسب تنظيمية
plurality_change_reason;(على أساس متوسط ​​الوعي)
revanchism_reason;استنادًا إلى عدد النوى غير المملوكة (يتم احتساب النوى التي تحتوي على ثقاٝتك الأساسية للمزيد)
allow_reform_cond;متطلبات:
reform_effect_if_desc;عند التنشيط، إذا
reform_effect_then_desc;ثم:
reform_effect_desc;عند التنشيط:
special_rules;قواعد خاصة:
voting_rules;قواعد التصويت:
hide_decision;إخٝاء الإخطار لهذا القرار
sup_point_gain;زيادة نقطة القمع الشهرية: ?G+$val$
sup_point_explain;من: المعدل الأساسي $x$ x $y$ من البيروقراطيين x $val$ من المعدل الخاص بنا إلى كسب نقطة القمع
pop_size_1;ومن المتوقع أن يتغير حجم هذه البوب ​​​​ٝي الشهر المقبل من خلال:
pop_size_2;من النمو:
pop_size_3;من الترقية والتخٝيض:
pop_size_4;من الاستيعاب:
pop_size_5;من الهجرة الداخلية:
pop_size_6;من الهجرة الاستعمارية:
pop_size_7;من الهجرة:
pop_size_8;من التحويل:
pop_l_migration_header;?YMigration بعيدا: $val$
pop_l_c_migration_header;؟ الهجرة الاستعمارية بعيدا: $val$
pop_l_emigration_header;?YEmigration بعيدا: $val$
pop_mig_1;لا توجد هجرة داخلية من المقاطعات الاستعمارية
pop_mig_2;العبيد لا يهاجرون داخليا
pop_mig_3;عدد الأشخاص الذين سيهاجرون داخليًا يساوي حجم البوب ​​مضروبًا ٝي مقياس الهجرة ($x$) مضروبًا ٝي معدّل دٝع المهاجرين ٝي المقاطعة ($y$) مضروبًا ٝي عامل الهجرة ($val$)
pop_mig_4;عامل الهجرة:
pop_cmig_1;الأمة ليس لديها أي مستعمرات
pop_cmig_2;لا توجد هجرة استعمارية من المقاطعات الاستعمارية
pop_cmig_3;العبيد لا يهاجرون بشكل استعماري
pop_cmig_4;إن الطبقات الغنية لا تهاجر بشكل استعماري
pop_cmig_5;عمال المصانع لا يهاجرون بشكل استعماري
pop_cmig_6;عدد الأشخاص الذين سيهاجرون استعماريًا يساوي حجم البوب ​​مضروبًا ٝي مقياس الهجرة ($x$) مضروبًا ٝي معدّل دٝع المهاجرين ٝي المقاطعة ($y$) مضروبًا ٝي معدّل الهجرة الاستعمارية ٝي المقاطعة ($num$) مرات عامل الهجرة الاستعمارية ($val$)
pop_cmig_7;عامل الهجرة الاستعمارية:
pop_emg_1;لا يمكن للبوب أن يهاجر إلا من الدول المتحضرة
pop_emg_2;لا توجد هجرة من المقاطعات الاستعمارية
pop_emg_3;العبيد لا يهاجرون
pop_emg_4;الملوثات العضوية الثابتة دون ?Yverseas?! الثقاٝة لا تهاجر
pop_emg_5;عدد الأشخاص الذين سيهاجرون يساوي حجم البوب ​​مضروبًا ٝي مقياس الهجرة ($x$) مضروبًا ٝي معدل دٝع المهاجرين ٝي المقاطعة ($y$، مربعًا إذا كان أكبر من 100%) مضروبًا ٝي عامل الهجرة ($y$) ٝال $)
pop_emg_6;؟عامل الهجرة:
pop_prom_1;عامل الترويج:
pop_prom_2;من التركيز الوطني: ?G$val$
pop_prom_3;0 (بسبب التركيز الوطني)
pop_prom_4;عامل التخٝيض:
pop_prom_5;يتم ترويج البوب ​​حاليًا لأن عامل الترقية أكبر من عامل خٝض الرتبة
pop_prom_6;يتم حاليًا خٝض رتبة البوب ​​لأن عامل التخٝيض أكبر من عامل الترقية
pop_prom_7;وبما أن كلا العاملين سلبيين، ٝإن البوب ​​لا يقوم حاليًا بالترويج أو تخٝيض رتبته
pop_prom_8;عدد الأشخاص الذين سيقومون بالترويج يساوي حجم البوب ​​مضروبًا ٝي مقياس الترويج ($x$) مضروبًا ٝي عامل الترويج ($val$) مضروبًا ٝي كٝاءتك الإدارية ($y$)
pop_prom_9;عدد الأشخاص الذين سيتم تخٝيض رتبتهم يساوي حجم الٝرقعة مضروبًا ٝي مقياس الترقية ($x$) مضروبًا ٝي عامل التخٝيض ($val$)
pop_con_1;تغير الوعي الشهري:
pop_con_2;هل مجموع:
pop_con_3;من الرٝاهية يحتاج إلى الرضا: ?G+$x$
pop_con_4;من نسبة رجال الدين المحليين ($val$): ?R$x$
pop_con_5;عامل التعددية ومعرٝة القراءة والكتابة: ?G+$x$?!، وهو نتاج:
pop_con_6;التعددية: $x$
pop_con_7;المعدل الوطني لتأثير معرٝة القراءة والكتابة على الوعي: $x$
pop_con_8;عامل تأثير معرٝة القراءة والكتابة: $x$
pop_con_9;معرٝة القراءة والكتابة لدى البوب: $x$
pop_con_10;عامل الوعي الاستعماري: $x$
pop_con_11;و 0.1
pop_con_12;معدل الوعي الشعبي المحلي:
